Date,Open,High,Low,Close,Adj Close,Volume
2009-07-01,1215.000000,1215.000000,1188.000000,1200.449951,1130.490479,1525
2009-07-02,1255.000000,1260.000000,1175.250000,1186.349976,1117.212402,1727
2009-07-03,1164.000000,1223.900024,1164.000000,1198.199951,1128.371582,3401
2009-07-06,1185.000000,1225.000000,1185.000000,1193.900024,1124.322144,15855
2009-07-07,1215.000000,1249.949951,1151.000000,1200.500000,1130.537354,132883
2009-07-08,1187.000000,1240.000000,1180.000000,1222.099976,1150.878662,18811
2009-07-09,1222.099976,1239.800049,1190.300049,1231.500000,1159.730713,7480
2009-07-10,1220.000000,1235.000000,1200.000000,1217.699951,1146.734985,8238
2009-07-13,1249.000000,1250.000000,1200.000000,1202.250000,1132.185791,4522
2009-07-14,1207.000000,1259.000000,1202.500000,1248.699951,1175.928467,4732
2009-07-15,1255.000000,1300.000000,1243.000000,1274.900024,1200.602051,56230
2009-07-16,1280.000000,1310.000000,1267.000000,1303.050049,1231.942749,4501
2009-07-17,1310.000000,1350.000000,1308.000000,1347.599976,1274.061523,8015
2009-07-20,1362.000000,1400.000000,1348.000000,1399.050049,1322.704346,6016
2009-07-21,1399.000000,1416.000000,1371.000000,1406.449951,1329.700195,3227
2009-07-22,1410.099976,1425.000000,1402.050049,1412.050049,1334.994507,6466
2009-07-23,1415.000000,1449.000000,1380.000000,1411.250000,1334.238525,5634
2009-07-24,1441.000000,1472.000000,1440.000000,1449.699951,1370.589966,21690
2009-07-27,1476.000000,1582.500000,1476.000000,1539.599976,1455.583984,61397
2009-07-28,1545.000000,1599.000000,1543.599976,1574.099976,1488.201538,50406
2009-07-29,1540.000000,1586.000000,1520.400024,1582.099976,1495.765015,29011
2009-07-30,1589.949951,1650.000000,1550.699951,1644.599976,1554.854248,31279
2009-07-31,1650.000000,1720.000000,1650.000000,1684.449951,1592.529907,20268
2009-08-03,1690.000000,1754.000000,1690.000000,1729.050049,1634.695801,29667
2009-08-04,1751.000000,1755.000000,1701.099976,1727.800049,1633.513794,26859
2009-08-05,1710.000000,1730.000000,1699.000000,1709.099976,1615.834717,7861
2009-08-06,1708.000000,1750.000000,1665.199951,1700.349976,1607.561768,35971
2009-08-07,1705.000000,1705.000000,1590.050049,1627.949951,1539.112793,31468
2009-08-10,1660.000000,1700.000000,1548.000000,1551.099976,1466.456665,17061
2009-08-11,1530.000000,1550.000000,1489.900024,1528.849976,1445.420288,10292
2009-08-12,1528.000000,1549.000000,1490.000000,1537.849976,1453.929688,13602
2009-08-13,1558.000000,1610.000000,1558.000000,1596.750000,1509.615601,7441
2009-08-14,1600.000000,1639.949951,1541.800049,1556.900024,1471.939697,10349
2009-08-17,1550.900024,1559.900024,1484.000000,1498.050049,1416.301758,9637
2009-08-18,1490.000000,1508.949951,1483.050049,1491.300049,1409.919922,9906
2009-08-19,1515.000000,1521.800049,1477.599976,1510.500000,1428.072266,5061
2009-08-20,1519.800049,1519.800049,1466.000000,1489.550049,1408.265381,45325
2009-08-21,1463.000000,1555.000000,1463.000000,1506.750000,1424.526978,19624
2009-08-24,1515.000000,1574.949951,1515.000000,1567.699951,1482.150635,7602
2009-08-25,1560.000000,1599.000000,1545.000000,1559.400024,1474.303589,10334
2009-08-26,1570.000000,1591.000000,1550.000000,1562.949951,1477.659790,5234
2009-08-27,1565.000000,1600.000000,1541.199951,1567.849976,1482.292358,7277
2009-08-28,1554.000000,1589.900024,1531.000000,1540.949951,1456.860229,24439
2009-08-31,1535.000000,1574.000000,1525.000000,1535.699951,1451.896851,32042
2009-09-01,1533.000000,1559.900024,1520.000000,1526.050049,1442.773438,2757
2009-09-02,1525.000000,1537.949951,1485.000000,1506.849976,1424.621338,32537
2009-09-03,1529.900024,1529.900024,1489.949951,1522.599976,1439.511963,14915
2009-09-04,1525.000000,1525.000000,1490.000000,1498.949951,1417.152588,13080
2009-09-07,1501.000000,1573.000000,1499.949951,1525.599976,1442.347900,13761
2009-09-08,1525.000000,1547.000000,1501.000000,1506.050049,1423.864990,2557
2009-09-09,1505.000000,1525.000000,1485.849976,1508.400024,1426.086914,1269
2009-09-10,1539.800049,1545.000000,1506.650024,1518.400024,1435.541138,2037
2009-09-11,1518.000000,1540.000000,1501.300049,1529.750000,1446.271729,13531
2009-09-14,1580.000000,1590.000000,1505.000000,1522.400024,1439.322998,7348
2009-09-15,1525.099976,1553.000000,1480.050049,1494.849976,1413.275757,18786
2009-09-16,1494.900024,1535.000000,1472.000000,1502.599976,1420.603149,14250
2009-09-17,1502.000000,1574.000000,1500.099976,1566.699951,1481.205200,26340
2009-09-18,1573.000000,1790.000000,1573.000000,1692.000000,1599.667480,139828
2009-09-22,1674.000000,1725.000000,1622.000000,1629.349976,1540.436279,10032
2009-09-23,1621.050049,1695.000000,1621.050049,1677.349976,1585.817017,10111
2009-09-24,1631.000000,1670.000000,1631.000000,1644.650024,1554.901489,64350
2009-09-25,1631.000000,1683.000000,1630.000000,1640.900024,1551.356201,57085
